Player,Duration,Matches,innings,NO,Runs,High_score,Ave,Balls_faced,Strike_rate,100,50,0,4s,6s,Country,start_year,end_year
Abid Ali ,2,16,26,2,1180,215,49.16,2445,48.26,4,3,2,148,5,PAK,2019,2021
MJ Clarke ,11,115,198,22,8643,329,49.1,15456,55.92,28,27,9,978,39,AUS,2004,2015
KC Bland ,5,21,39,5,1669,144,49.08,885,37.74,3,9,2,123,20,SA,1961,1966
B Mitchell ,20,42,80,9,3471,189,48.88,158,29.11,8,21,3,41,1,SA,1929,1949
Hon.FS Jackson ,12,20,33,4,1415,144,48.79,0,0.0,5,6,3,51,0,ENG,1893,1905
TT Samaraweera ,12,81,132,20,5462,231,48.76,11641,46.92,14,30,11,633,7,SL,2001,2013
RN Harvey ,15,79,137,10,6149,205,48.41,1799,43.74,21,24,7,427,1,AUS,1948,1963
KD Walters ,16,74,125,14,5357,250,48.26,8662,49.16,15,33,4,525,23,AUS,1965,1981
GC Smith ,12,117,205,13,9265,277,48.25,15525,59.67,27,38,11,1165,24,ICC/SA,2002,2014
WH Ponsford ,10,29,48,4,2122,266,48.22,3118,44.77,7,6,1,119,0,AUS,1924,1934
SJ McCabe ,8,39,62,5,2748,232,48.21,3217,60.02,6,13,4,241,5,AUS,1930,1938
DR Jardine ,6,22,33,6,1296,127,48.0,2110,25.59,1,10,2,53,0,ENG,1928,1934
